name,aliases,primary,secondary,logo
St. Benedict's,"st benedicts prep,saint benedicts,SBP,St. Benedict's Prep",#602030,#E0E0E0,st-benedict-s.png
Delbarton,DHS,#103010,#E0E0E0,delbarton.png
Pennington,PHS,#B0B0B0,#D0D0D0,pennington.png
Pingry,"TPS,The Pingry School",#A0B0C0,#7090A0,pingry.png
Kearny,KHS,#F03030,#101010,kearny.png
Seton Hall Prep,"seton hall preparatory,SHP",#000030,#006090,seton-hall-prep.png
Hunterdon Central,HCHS,#F02020,#E0E0E0,hunterdon-central.png
Montclair,MHS,#100080,#E0E0E0,montclair.png
Scotch Plains-Fanwood,SPFHS,#303090,#909090,scotch-plains-fanwood.png
Westfield,WHS,#001070,#405090,westfield.png
Montclair Kimberley,"montclair kimberley academy,mka,MKA,Montclair Kimberley Academy",#000060,#303080,montclair-kimberley.png
St. Peter's Prep,"st peters prep,saint peters prep,SPP",#800000,#F0E0E0,st-peter-s-prep.png
Madison,MHS,#E0E0E0,#301010,madison.png
Ramapo,RHS,#006030,#308050,ramapo.png
Colts Neck,CNHS,#202020,#606060,colts-neck.png
Christian Brothers,"christian brothers academy,cba,CBA,Christian Brothers Academy",#001030,#80A0E0,christian-brothers.png
Summit,SHS,#703040,#D0A030,summit.png
Notre Dame,NDHS,#005090,#A0D0E0,notre-dame.png
Monroe,"MTHS,Monroe Township",#201010,#501050,monroe.png
Gill St. Bernard's,"gill st bernards,GSBHS",#202010,#005070,gill-st-bernard-s.png
Randolph,RHS,#C0C0C0,#203060,randolph.png
Ridgewood,RHS,#702020,#101010,ridgewood.png
Clifton,CHS,#600010,#E0D0D0,clifton.png
Princeton,PHS,#1060D0,#E0E0E0,princeton.png
Elizabeth,EHS,#E01020,#202020,elizabeth.png
Hun,"the hun school,hun school,HHS",#300030,#F00030,hun.png
New Providence,NPHS,#E0E0E0,#505050,new-providence.png
Chatham,CHS,#001040,#D0D0E0,chatham.png
Manalapan,MHS,#F02000,#B0B0C0,manalapan.png
Robbinsville,RHS,#101010,#303030,robbinsville.png
St. Joseph (Met.),"st joseph metuchen,st joseph,SJHS,St. Joseph",#306040,#E0E0E0,st-joseph-met.png
West Orange,WOHS,#A0C0E0,#002050,west-orange.png
Watchung Hills,"WHRHS,Watchung Hills Regional",#403010,#F0D000,watchung-hills.png
Ramsey,RHS,#000030,#E0B010,ramsey.png
Newark East Side,"NA,Newark Academy",#809080,#D01040,newark-east-side.png
Oratory,"oratory prep,OP,Oratory Prep",#002050,#E0C070,oratory.png
Columbia,CHS,#D00000,#D0D0D0,columbia.png
Harrison,HHS,#000060,#D0D0E0,harrison.png
Rahway,RHS,#201020,#E01020,rahway.png
Don Bosco Prep,"don bosco,DBP",#702030,#D0D0D0,don-bosco-prep.png
Toms River East,TREHS,#101010,#505050,toms-river-east.png
Morristown,MHS,#603030,#301010,morristown.png
Mount Olive,MOHS,#C00000,#202010,mount-olive.png
Hackettstown,HHS,#E05010,#101010,hackettstown.png
Bergen Catholic,BCHS,#D01040,#E0A010,bergen-catholic.png
Voorhees,VHS,#B01030,#E08030,voorhees.png
Manasquan,MHS,#101050,#909090,manasquan.png
South Brunswick,SBHS,#B0B0B0,#907020,south-brunswick.png
Ocean Township,OTHS,#E00000,#F0E0E0,ocean-township.png
Wayne Hills,WHHS,#004070,#5090D0,wayne-hills.png
Rumson-Fair Haven,RFHHS,#C0C0C0,#303090,rumson-fair-haven.png
Montgomery,MHS,#005000,#F0F000,montgomery.png
Bernards,BHS,#F00000,#B0B0B0,bernards.png
Garfield,GHS,#F0B030,#403070,garfield.png
Howell,HHS,#034CB2,#737272,howell.svg
Dover,DHS,#006030,#E01020,dover.png
Morris Knolls,MKHS,#D02020,#101010,morris-knolls.png
Holmdel,HHS,#203070,#A0A0A0,holmdel.png
Roxbury,RHS,#806020,#101010,roxbury.png
Southern,"SRHS,Southern Regional",#E0C010,#101000,southern.png
Tenafly,THS,#D05000,#200000,tenafly.png
Glen Rock,GRHS,#505050,#101010,glen-rock.png
Sparta,SHS,#001020,#708090,sparta.png
Newark Academy,NA,#809080,#D01040,newark-academy.png
Middletown North,MNHS,#709070,#E0E0E0,middletown-north.png
Glen Ridge,GRHS,#F05050,#606060,glen-ridge.png
Waldwick,WHS,#6080B0,#E0E0E0,waldwick.png
Rutherford,RHS,#90A0A0,#405070,rutherford.png
Union,UHS,#401010,#D0B080,union.png
Union City,UCHS,#A0A0A0,#003050,union-city.png
Bridgewater-Raritan,BRHS,#101010,#C0B0C0,bridgewater-raritan.png
Montville,MHS,#100050,#F0C020,montville.png
Cranford,CHS,#F0C030,#101010,cranford.png
Ridge,RHS,#003000,#E0E0E0,ridge.png
Demarest,"NVDHS,NV - Demarest",#101010,#B0A0B0,demarest.png
Morris Hills,MHHS,#E03020,#F0E0E0,morris-hills.png
Lacey,"LTHS,Lacey Township",#001030,#E0E0E0,lacey.png
Long Branch,LBHS,#E0F0E0,#C0D0C0,long-branch.png
